sample_id,transcript_id,log2cpm,gene_name,transcript_type,condition,donor_inferred,contrast
WZ8_CADASIL_Control,ENST00000494446.1,8.08106031947098,FN1,retained_intron,WT,SINGLETON_WT,vsmc_pooled_CAD_vs_nonCAD
WZ8_CADASIL_Control,ENST00000469569.1,2.45104742178333,FN1,retained_intron,WT,SINGLETON_WT,vsmc_pooled_CAD_vs_nonCAD
WZ8_CADASIL_Control,ENST00000473614.1,3.4226082362585,FN1,retained_intron,WT,SINGLETON_WT,vsmc_pooled_CAD_vs_nonCAD
WZ8_CADASIL_Control,ENST00000480024.1,5.11401243450576,FN1,retained_intron,WT,SINGLETON_WT,vsmc_pooled_CAD_vs_nonCAD
WZ8_CADASIL_Control,ENST00000461974.1,8.23979269407129,FN1,retained_intron,WT,SINGLETON_WT,vsmc_pooled_CAD_vs_nonCAD
WZ8_CADASIL_Control,ENST00000485567.1,0.671581896899192,FN1,retained_intron,WT,SINGLETON_WT,vsmc_pooled_CAD_vs_nonCAD
WZ8_CADASIL_Control,ENST00000460217.1,2.95125230432485,FN1,retained_intron,WT,SINGLETON_WT,vsmc_pooled_CAD_vs_nonCAD
WZ8_CADASIL_Control,ENST00000474036.1,6.62361758530506,FN1,retained_intron,WT,SINGLETON_WT,vsmc_pooled_CAD_vs_nonCAD
WZ8_CADASIL_Control,ENST00000490833.5,-5.92833094528794,FN1,protein_coding_CDS_not_defined,WT,SINGLETON_WT,vsmc_pooled_CAD_vs_nonCAD
WZ8_CADASIL_Control,ENST00000480737.1,-5.92833094528794,FN1,retained_intron,WT,SINGLETON_WT,vsmc_pooled_CAD_vs_nonCAD
WZ8_CADASIL_Control,ENST00000471193.1,-0.200410490724737,FN1,retained_intron,WT,SINGLETON_WT,vsmc_pooled_CAD_vs_nonCAD
WZ8_CADASIL_Control,ENST00000426059.1,2.70466425185502,FN1,protein_coding,WT,SINGLETON_WT,vsmc_pooled_CAD_vs_nonCAD
WZ8_CADASIL_Control,ENST00000496542.1,1.40258593282668,FN1,retained_intron,WT,SINGLETON_WT,vsmc_pooled_CAD_vs_nonCAD
WZ8_CADASIL_Control,ENST00000261937.11,-3.60640285040057,FLT4,protein_coding,WT,SINGLETON_WT,vsmc_pooled_CAD_vs_nonCAD
WZ8_CADASIL_Control,ENST00000393347.7,-1.8408681040376,FLT4,protein_coding,WT,SINGLETON_WT,vsmc_pooled_CAD_vs_nonCAD
WZ8_CADASIL_Control,ENST00000510000.1,-5.92833094528794,FLT4,retained_intron,WT,SINGLETON_WT,vsmc_pooled_CAD_vs_nonCAD
WZ8_CADASIL_Control,ENST00000514810.1,-5.92833094528794,FLT4,retained_intron,WT,SINGLETON_WT,vsmc_pooled_CAD_vs_nonCAD
WZ8_CADASIL_Control,ENST00000282397.9,-1.68040343184435,FLT1,protein_coding,WT,SINGLETON_WT,vsmc_pooled_CAD_vs_nonCAD
WZ8_CADASIL_Control,ENST00000541932.5,0.839853379488991,FLT1,protein_coding,WT,SINGLETON_WT,vsmc_pooled_CAD_vs_nonCAD
WZ8_CADASIL_Control,ENST00000615840.5,0.0940368677405188,FLT1,protein_coding,WT,SINGLETON_WT,vsmc_pooled_CAD_vs_nonCAD
WZ8_CADASIL_Control,ENST00000539099.2,-5.92833094528794,FLT1,nonsense_mediated_decay,WT,SINGLETON_WT,vsmc_pooled_CAD_vs_nonCAD
XZ5_CADASIL_R153C,ENST00000421182.5,-2.07911676456862,FN1,protein_coding,CAD,C224Y,vsmc_pooled_CAD_vs_nonCAD
XZ5_CADASIL_R153C,ENST00000323926.10,10.9217079370845,FN1,protein_coding,CAD,C224Y,vsmc_pooled_CAD_vs_nonCAD
XZ5_CADASIL_R153C,ENST00000336916.8,-6.32704427801221,FN1,protein_coding,CAD,C224Y,vsmc_pooled_CAD_vs_nonCAD
XZ5_CADASIL_R153C,ENST00000492816.6,4.31951443214234,FN1,retained_intron,CAD,C224Y,vsmc_pooled_CAD_vs_nonCAD
XZ5_CADASIL_R153C,ENST00000446046.5,8.50698228074525,FN1,protein_coding,CAD,C224Y,vsmc_pooled_CAD_vs_nonCAD
XZ5_CADASIL_R153C,ENST00000443816.5,6.86108090224333,FN1,protein_coding,CAD,C224Y,vsmc_pooled_CAD_vs_nonCAD
