ensembl_id,gene_name,WZ12_CADASIL_Control,WZ16_CADASIL_C224Y,WZ4_CADASIL_Control,WZ8_CADASIL_Control,XZ5_CADASIL_R153C,XZ6_CADASIL_R153C_isoCtrl,XZ7_CADASIL_C224Y_isoCtrl
ENSG00000127870.17,RNF6,5.7449,5.0772,5.7155,5.5816,5.4059,5.7522,5.7958
ENSG00000127884.5,ECHS1,6.7168,6.0839,6.6559,6.7140,6.0989,6.2243,6.2166
ENSG00000127903.14,ZNF835,0.9282,0.6170,1.4158,0.1544,1.6182,0.3552,1.1432
ENSG00000127914.19,AKAP9,6.3197,6.2456,6.1484,6.3099,6.2870,6.7088,6.3359
ENSG00000127920.6,GNG11,7.0537,4.5392,5.4189,6.2253,6.1967,6.3654,5.9645
ENSG00000127922.10,SEM1,5.8209,5.3856,5.7110,5.7795,5.5132,5.1502,5.0993
ENSG00000127946.17,HIP1,5.2127,7.4129,4.9092,5.4951,7.4102,5.6426,6.0503
ENSG00000127947.16,PTPN12,6.6056,6.1736,6.6909,6.5169,6.4184,6.6683,6.7136
ENSG00000127948.17,POR,5.4504,5.9427,6.2659,5.9027,6.0459,5.2685,5.8083
ENSG00000127952.17,STYXL1,4.6321,4.1091,4.7891,4.5924,4.3120,4.3232,4.2487
ENSG00000127955.17,GNAI1,5.3295,6.0865,4.8122,4.7642,5.3468,5.1331,5.0475
ENSG00000127980.16,PEX1,4.4182,4.6495,4.3219,4.1196,4.6840,4.0469,4.0134
ENSG00000127989.14,MTERF1,3.2790,3.0896,3.1788,3.2266,3.4483,2.9514,3.0796
ENSG00000127990.19,SGCE,4.9157,5.8472,5.6197,5.4745,5.2950,5.0565,4.9993
ENSG00000127993.16,RBM48,3.4674,3.6574,3.4817,3.5801,3.9154,3.0938,3.2963
ENSG00000127995.17,CASD1,4.7283,5.3352,4.9439,4.7008,5.2715,4.6463,4.6700
ENSG00000128000.17,ZNF780B,2.9879,3.6527,3.5282,2.9596,3.1340,2.6722,2.7829
ENSG00000128011.5,LRFN1,2.4716,2.6637,2.1432,1.1160,4.3120,3.3122,2.7745
ENSG00000128016.7,ZFP36,3.8782,3.5653,3.3554,3.5801,3.1773,3.6213,4.1669
ENSG00000128039.13,SRD5A3,2.6303,2.0851,2.8033,2.2298,2.6186,2.8221,2.8246
ENSG00000128045.7,RASL11B,0.6895,1.9071,0.1129,0.8407,5.8258,1.1054,2.3870
ENSG00000128050.9,PAICS,7.3754,7.3392,7.8012,7.8413,7.1136,6.9792,7.3171
ENSG00000128052.10,KDR,3.5767,4.4687,2.6987,3.4862,5.9787,3.7277,3.8855
