ensembl_id,gene_name,WZ12_CADASIL_Control,WZ16_CADASIL_C224Y,WZ4_CADASIL_Control,WZ8_CADASIL_Control,XZ5_CADASIL_R153C,XZ6_CADASIL_R153C_isoCtrl,XZ7_CADASIL_C224Y_isoCtrl
ENSG00000108861.9,DUSP3,5690,1664,4108,3891,2550,4868,4322
ENSG00000108883.13,EFTUD2,3882,3478,3917,4162,3826,3301,3216
ENSG00000108946.17,PRKAR1A,7782,7648,6336,5927,8394,6882,6354
ENSG00000108947.5,EFNB3,396,1362,244,391,1768,352,561
ENSG00000108953.17,YWHAE,14903,10682,11709,13882,14847,11831,12415
ENSG00000108960.9,MMD,1331,830,561,506,1131,1291,909
ENSG00000108961.14,RANGRF,551,461,514,491,486,404,435
ENSG00000108963.19,DPH1,630,406,502,503,695,456,436
ENSG00000108984.16,MAP2K6,537,1379,358,509,845,508,440
ENSG00000109016.18,DHRS7B,534,273,533,337,325,395,375
ENSG00000109046.15,WSB1,5813,7403,5056,5360,4653,2361,2231
ENSG00000109062.12,NHERF1,2634,649,1334,2590,2391,1867,2797
ENSG00000109063.15,MYH3,13,22,33,34,20,7,11
ENSG00000109065.12,NAT9,1372,752,1166,1038,1054,818,768
ENSG00000109066.14,TMEM104,2585,1210,1731,1969,2303,2312,2015
ENSG00000109072.14,VTN,126,31,171,85,44,160,179
ENSG00000109079.10,TNFAIP1,3923,2165,3876,3505,2753,4158,4788
ENSG00000109083.14,IFT20,899,727,581,607,958,879,809
ENSG00000109084.14,TMEM97,463,2388,1605,1336,1204,273,758
ENSG00000109089.7,CDR2L,3644,882,2803,2802,1648,4328,3443
ENSG00000109099.16,PMP22,1634,2260,737,1822,2292,1308,1981
ENSG00000109103.12,UNC119,577,944,561,598,1671,455,667
ENSG00000109107.14,ALDOC,216,264,118,270,219,155,111
ENSG00000109111.15,SUPT6H,6036,4996,4478,5434,6218,6216,5853
ENSG00000109113.20,RAB34,3165,2821,3953,3336,3747,2898,3238
ENSG00000109118.14,PHF12,1675,1608,1020,1551,2197,1421,1435
ENSG00000109133.14,TMEM33,1272,960,1569,1267,1625,1476,1275
