ensembl_id,gene_name,WZ12_CADASIL_Control,WZ16_CADASIL_C224Y,WZ4_CADASIL_Control,WZ8_CADASIL_Control,XZ5_CADASIL_R153C,XZ6_CADASIL_R153C_isoCtrl,XZ7_CADASIL_C224Y_isoCtrl
ENSG00000250627.2,TTC39CP1,0,0,0,0,0,0,0
ENSG00000250629.1,ENSG00000250629,1,0,0,0,2,0,0
ENSG00000250630.1,MTCO1P35,0,0,0,0,0,0,0
ENSG00000250632.1,LINC02171,0,0,0,0,0,0,0
ENSG00000250634.6,LINC01182,26,5,22,21,15,12,31
ENSG00000250635.1,CXXC5-AS1,1,1,0,2,7,1,0
ENSG00000250636.1,ENSG00000250636,0,0,0,0,0,0,0
ENSG00000250637.2,ENSG00000250637,0,0,0,0,0,0,0
ENSG00000250640.2,OR7E41P,0,0,0,0,0,0,0
ENSG00000250641.1,LY6G6F-LY6G6D,0,0,0,0,0,0,0
ENSG00000250642.3,ENSG00000250642,0,0,0,0,0,0,0
ENSG00000250643.1,ENSG00000250643,0,0,0,0,0,0,0
ENSG00000250644.3,ENSG00000250644,23,10,6,9,52,17,8
ENSG00000250645.1,ENSG00000250645,0,2,0,0,0,1,1
ENSG00000250646.1,ENSG00000250646,0,0,0,0,0,0,0
ENSG00000250650.1,ENSG00000250650,0,0,0,0,0,0,0
ENSG00000250651.1,PABPC1P7,0,2,0,0,0,0,0
ENSG00000250654.8,ENSG00000250654,0,0,0,0,0,0,0
ENSG00000250655.1,ENSG00000250655,0,0,0,0,0,0,0
ENSG00000250656.2,ST3GAL1P1,0,0,0,0,0,0,0
ENSG00000250657.1,ENSG00000250657,0,0,2,0,0,1,0
ENSG00000250658.1,ENSG00000250658,0,0,1,28,5,0,2
ENSG00000250659.2,ENSG00000250659,0,0,0,0,0,0,0
ENSG00000250662.1,HNRNPKP5,0,0,0,0,0,0,0
ENSG00000250665.1,ENSG00000250665,0,0,0,0,0,0,0
ENSG00000250666.1,LINC01596,0,0,0,0,0,0,0
ENSG00000250667.1,ENSG00000250667,0,0,0,0,0,0,0
ENSG00000250668.2,LINC02123,0,0,0,0,0,0,0
ENSG00000250669.1,ENSG00000250669,2,1,0,0,1,0,0
ENSG00000250670.1,ENSG00000250670,0,0,0,0,0,0,0
ENSG00000250672.1,ENSG00000250672,0,0,0,0,0,0,0
ENSG00000250673.3,REELD1,1,2,2,0,0,0,0
ENSG00000250674.1,ENSG00000250674,0,0,0,0,0,0,0
ENSG00000250677.1,ENSG00000250677,0,0,0,0,0,0,0
ENSG00000250678.1,ENSG00000250678,0,0,0,0,0,0,0
ENSG00000250681.1,ENSG00000250681,0,0,0,0,0,0,0
ENSG00000250682.6,LINC00491,8,8,0,8,25,12,0
ENSG00000250684.4,ADI1P2,0,0,0,0,0,0,0
ENSG00000250685.7,ENSG00000250685,0,0,0,0,0,0,0
ENSG00000250686.2,KHDRBS2-OT1,1,0,0,0,0,1,0
ENSG00000250687.7,NAIPP1,0,0,0,0,0,0,0
ENSG00000250688.1,TRAJ55,0,0,0,0,0,0,0
ENSG00000250692.1,ENSG00000250692,0,0,0,0,0,0,0
ENSG00000250693.2,RPF2P2,0,0,0,0,0,0,0
ENSG00000250694.1,ENSG00000250694,0,0,0,0,0,0,0
ENSG00000250696.5,ENSG00000250696,0,0,0,1,1,2,2
ENSG00000250697.2,ENSG00000250697,0,2,0,1,4,2,0
ENSG00000250698.1,ENSG00000250698,0,0,0,0,0,0,0
ENSG00000250699.1,ENSG00000250699,0,0,0,0,0,0,0
ENSG00000250703.1,ENSG00000250703,0,0,0,0,0,0,0
ENSG00000250704.1,ENSG00000250704,0,0,0,0,0,0,0
ENSG00000250705.1,H3P23,0,0,0,0,1,1,3
ENSG00000250706.1,ENSG00000250706,0,0,0,0,0,0,0
ENSG00000250708.3,LINC02269,0,0,0,0,0,1,0
ENSG00000250709.1,CCDC169-SOHLH2,0,0,0,0,0,0,0
ENSG00000250710.3,OR7E99P,0,0,0,0,0,0,0
